,id,name,event_id,start_date,end_date,title,photo_url
0,18649486,The Drunken Botanist,322331.0,2019-03-06,2019-08-28,"BackToBasic Wednesdays !!


",['https://b.zmtcdn.com/data/zomato_events/photos/5a1/ac34cf3c271c9052e9d248c243df65a1_1551852711.jpg']
1,308322,Hauz Khas Social,332812.0,2019-03-29,2019-05-23,Live 20/20 Match Screenings,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg']
2,18856789,AIR- An Ivory Region,336644.0,2019-04-10,2019-04-11,Dhol Bhangra Night,['https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg']
3,307374,AMA Cafe,NA,NA,NA,NA,NA
4,18238278,Tamasha,NA,NA,NA,NA,NA
5,18268712,Chili's Grill & Bar,NA,NA,NA,NA,NA
6,18198449,Punjabi Angithi,NA,NA,NA,NA,NA
7,18382360,Local,336903.0,2019-04-13,2019-04-13,Urban Saturday,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg']
8,18273624,Cafeteria & Co.,NA,NA,NA,NA,NA
9,18466951,Jungle Jamboree,336622.0,2019-04-08,2019-04-13,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,['https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg']
10,306046,SodaBottleOpenerWala,NA,NA,NA,NA,NA
11,18337893,The Luggage Room Kitchen And Bar,336248.0,2019-04-11,2019-04-11,Ladies Night,['https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg']
12,18518483,Echoes Hudson Lane,NA,NA,NA,NA,NA
13,18246991,Odeon Social,332812.0,2019-03-29,2019-05-23,Live 20/20 Match Screenings,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg']
14,8913,Pirates of Grill,NA,NA,NA,NA,NA
15,313256,The Junkyard Cafe,NA,NA,NA,NA,NA
16,18562836,Diggin,NA,NA,NA,NA,NA
17,17953943,The Burger Club,NA,NA,NA,NA,NA
18,18258498,Chinese Kitchen,NA,NA,NA,NA,NA
19,18537536,Chili's Grill & Bar,NA,NA,NA,NA,NA
20,18707652,Zam Zam,NA,NA,NA,NA,NA
21,18571735,Dum Laga Ke Haishaa,337102.0,2019-04-14,2019-04-15,Poila Baishak Special,['https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg']
22,18398880,JW Kitchen - JW Marriott Hotel Kolkata,334818.0,2019-04-15,2019-04-15,Poila Baishakh Buffet ,['https://b.zmtcdn.com/data/zomato_events/photos/cd3/63b861ffce13a6772331351c3d4a7cd3_1554270291.jpeg']
23,18677746,Burger in Law,NA,NA,NA,NA,NA
24,17983797,Dada Boudi Restaurant,NA,NA,NA,NA,NA
25,18538536,Scrapyard,NA,NA,NA,NA,NA
26,25570,Barbeque Nation,NA,NA,NA,NA,NA
27,18354569,Tram Deepo,NA,NA,NA,NA,NA
28,18259462,Ocean Grill,286422.0,2018-12-17,2019-04-30,Customised Party Packages,[]
29,18761167,Echoes Kolkata,337247.0,2019-04-15,2019-04-15,Celebrate Poila Boishak with Echoes,['https://b.zmtcdn.com/data/zomato_events/photos/fd4/28cb2e167c37cb93352c8d7ff086ffd4_1554804343.jpg']
30,18751849,Five Mad Men,334922.0,2019-04-15,2019-04-15,Game of Thrones - Special Screening of season 8,['https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg']
31,20747,India Restaurant,NA,NA,NA,NA,NA
32,18461760,Kankurgachi Dhaba,NA,NA,NA,NA,NA
33,20404,Peter Cat,NA,NA,NA,NA,NA
34,18017615,What's Up,NA,NA,NA,NA,NA
35,18265479,BJs Sports Restrau Cum Lounge,NA,NA,NA,NA,NA
36,18377098,CALCUTTA 64,NA,NA,NA,NA,NA
37,18377112,Nawwarah Fine Dine & Lounge,NA,NA,NA,NA,NA
38,18610904,The Fatty Bao,NA,NA,NA,NA,NA
39,18711365,The Saffron Tree,NA,NA,NA,NA,NA
40,18392725,Tamasha,336898.0,2019-04-12,2019-04-13,Zulfi Performing Live,['https://b.zmtcdn.com/data/zomato_events/photos/4d5/714bbc76d08697beb0a92b7a164f04d5_1554727292.jpg']
41,18701052,The Fusion Kitchen,298104.0,2019-03-15,2019-04-30,HAPPY HOURS 1+1 ,['https://b.zmtcdn.com/data/zomato_events/photos/e3b/f4ff3f0587a19faae36ab04fa1c2ce3b_1550491642.jpg']
42,18548172,Hitchki,NA,NA,NA,NA,NA
43,18591040,Hitchki,NA,NA,NA,NA,NA
44,19008239,HAS South Bombay,NA,NA,NA,NA,NA
45,18392711,Lord Of The Drinks,NA,NA,NA,NA,NA
46,18616378,Lord of the Drinks,NA,NA,NA,NA,NA
47,18669432,HITCHKI,NA,NA,NA,NA,NA
