,id,name,cuisines,city,country,votes,aggregate_rating
0,18649486,The Drunken Botanist,"Continental, Italian, North Indian, Chinese",Gurgaon,India,4765,4.4
1,308322,Hauz Khas Social,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",New Delhi,India,13627,4.6
2,18856789,AIR- An Ivory Region,"North Indian, Chinese, Continental, Asian",New Delhi,India,1819,4.1
3,307374,AMA Cafe,"Cafe, Juices",New Delhi,India,3252,4.4
4,18238278,Tamasha,"Finger Food, North Indian, Continental, Italian",New Delhi,India,8112,4.4
5,18268712,Chili's Grill & Bar,"Mexican, American, Italian, Burger",Noida,India,3702,4.6
6,18198449,Punjabi Angithi,"North Indian, Chinese, Momos, Rolls, Fast Food",New Delhi,India,3613,4.7
7,18382360,Local,"North Indian, Continental, Momos",New Delhi,India,5694,4.3
8,18273624,Cafeteria & Co.,"Continental, Mexican, Fast Food",New Delhi,India,4229,4.5
9,18466951,Jungle Jamboree,"North Indian, Continental, Chinese, BBQ",Noida,India,2832,4.5
10,306046,SodaBottleOpenerWala,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",Gurgaon,India,3818,4.2
11,18337893,The Luggage Room Kitchen And Bar,"Italian, Chinese, Continental",New Delhi,India,1622,4.5
12,18518483,Echoes Hudson Lane,"Cafe, American, Chinese, Continental, North Indian, Italian",New Delhi,India,2534,4.6
13,18246991,Odeon Social,"Continental, American, Asian, North Indian, Momos, Beverages",New Delhi,India,5808,4.4
14,8913,Pirates of Grill,"North Indian, Mughlai, Continental",Gurgaon,India,5760,4.9
15,313256,The Junkyard Cafe,"North Indian, Mediterranean, Asian, Salad, Momos",New Delhi,India,5512,4.5
16,18562836,Diggin,"Italian, Continental, Beverages",New Delhi,India,2335,4.2
17,17953943,The Burger Club,"Burger, Fast Food, Beverages",New Delhi,India,2411,4.2
18,18258498,Chinese Kitchen,"Fast Food, Chinese, Momos",New Delhi,India,713,4.1
19,18537536,Chili's Grill & Bar,"Mexican, American, Italian",New Delhi,India,2364,4.6
20,18707652,Zam Zam,"Biryani, Mughlai",Kolkata,India,824,4.4
21,18571735,Dum Laga Ke Haishaa,"Continental, Biryani, North Indian, Chinese, Kebab",Kolkata,India,770,4.5
22,18398880,JW Kitchen - JW Marriott Hotel Kolkata,"North Indian, European, Mediterranean, Thai, Salad, Juices",Kolkata,India,3578,4.6
23,18677746,Burger in Law,"Burger, Fast Food",Kolkata,India,455,4.7
24,17983797,Dada Boudi Restaurant,"Mughlai, North Indian, Chinese",Kolkata,India,1993,4.3
25,18538536,Scrapyard,"North Indian, Chinese, Continental",Kolkata,India,1260,4.2
26,25570,Barbeque Nation,"North Indian, Chinese, Kebab, BBQ",Kolkata,India,4597,4.8
27,18354569,Tram Deepo,"Continental, Chinese, Fast Food, Finger Food, North Indian, Mexican",Kolkata,India,1895,4.4
28,18259462,Ocean Grill,"Continental, Seafood, North Indian, Asian",Kolkata,India,2318,4.3
29,18761167,Echoes Kolkata,"North Indian, Continental, Chinese, Italian, American",Kolkata,India,456,4.8
30,18751849,Five Mad Men,"American, Chinese, Continental, North Indian",Kolkata,India,1465,4.3
31,20747,India Restaurant,"Biryani, Mughlai",Kolkata,India,3909,4.5
32,18461760,Kankurgachi Dhaba,"North Indian, Biryani, Chinese",Kolkata,India,700,3.9
33,20404,Peter Cat,"Continental, North Indian",Kolkata,India,11476,4.2
34,18017615,What's Up,"Chinese, Continental, Italian, Kebab",Kolkata,India,4162,4.4
35,18265479,BJs Sports Restrau Cum Lounge,"Cafe, North Indian",Kolkata,India,1405,4.7
36,18377098,CALCUTTA 64,"Italian, Continental, Mexican",Kolkata,India,2134,4.4
37,18377112,Nawwarah Fine Dine & Lounge,"North Indian, Chinese",Kolkata,India,1993,4.3
38,18610904,The Fatty Bao,"Japanese, Sushi, Asian",Kolkata,India,884,4.6
39,18711365,The Saffron Tree,"Mughlai, Continental, Biryani",Kolkata,India,1274,4.8
40,18392725,Tamasha,"Finger Food, Continental",Mumbai,India,4553,4.6
41,18701052,The Fusion Kitchen,"Chinese, Continental, European, North Indian, Italian, Mexican, Pizza",Mumbai,India,2723,4.7
42,18548172,Hitchki,"Modern Indian, North Indian, Chinese, Momos, Biryani, Continental, American, Fast Food",Mumbai,India,3418,4.8
43,18591040,Hitchki,"Modern Indian, North Indian, Chinese, Momos, Biryani, Continental, American, Fast Food",Mumbai,India,3524,4.9
44,19008239,HAS South Bombay,South Indian,Mumbai,India,475,4.2
45,18392711,Lord Of The Drinks,"Finger Food, Continental, European, Chinese, North Indian, Italian",Mumbai,India,2604,4.6
46,18616378,Lord of the Drinks,"Finger Food, Continental, European, Chinese, North Indian, Italian",Mumbai,India,2362,4.8
47,18669432,HITCHKI,"Modern Indian, North Indian, Chinese, Momos, American, Biryani, Continental, Fast Food",Thane,India,1899,4.8
48,18566818,JLWA,"Modern Indian, European, Pizza",Mumbai,India,3101,4.7
49,48851,Rude Lounge,"North Indian, Italian, Chinese, Continental, BBQ",Mumbai,India,5003,4.4
50,18205932,The Cult - Peninsula Grand Hotel,"Continental, North Indian, Chinese",Mumbai,India,3142,4.5
51,18732598,Timess Square,"Continental, Mexican, North Indian",Mumbai,India,2113,4.4
52,18580259,Coffee Culture,"Cafe, Italian, Pizza, Continental, Beverages",Mumbai,India,6023,4.2
53,34757,Joey's Pizza,Pizza,Mumbai,India,7344,4.6
54,18522518,Vikhroli Social,"American, North Indian, Chinese, Asian, Beverages, Continental, Biryani",Mumbai,India,1934,4.3
55,18917650,Warehouse Kitchenbar,"North Indian, Asian, Burmese, Chinese, Continental, Desserts",Mumbai,India,666,4.5
56,35217,Joey's Pizza,Pizza,Mumbai,India,8669,4.5
57,18397684,Craftbar,"Continental, Mediterranean, Modern Indian, Mexican",Mumbai,India,1347,4.8
58,36403,Prithvi Cafe,"Cafe, Fast Food",Mumbai,India,7995,4.4
59,18691230,Grandmama's Café,"Cafe, American, Italian, Parsi, Desserts",Mumbai,India,1108,4.3
60,58882,Byg Brewski Brewing Company,"Continental, North Indian, Italian, South Indian, Finger Food",Bangalore,India,17394,4.9
61,18706428,Byg Brewski Brewing Company,"Finger Food, Asian, Pizza, Italian, North Indian, Desserts",Bangalore,India,5692,4.8
62,18871246,ShakesBierre,"Asian, Continental, European, North Indian",Bangalore,India,572,4.5
63,18772094,Bombay Adda,Modern Indian,Bangalore,India,3023,4.3
64,18578798,TBC Sky Lounge,"Continental, Asian, Italian, North Indian",Bangalore,India,7673,4.7
65,18945224,Secret Of Bangalore,"North Indian, South Indian, Continental, Asian, Desserts",Bangalore,India,866,4.3
66,18254597,Brew and Barbeque - A Microbrewery Pub,"Continental, North Indian, BBQ, Steak",Bangalore,India,6330,4.6
67,18387426,The Black Pearl,"North Indian, European, Mediterranean, BBQ",Bangalore,India,7769,4.7
68,57833,Big Pitcher,"American, Continental, North Indian, Mediterranean",Bangalore,India,9664,4.6
69,54162,The Black Pearl,"North Indian, European, Mediterranean",Bangalore,India,10892,4.8
70,18853706,Brahma Brews,"Continental, South Indian, Finger Food, Pizza, Seafood",Bangalore,India,610,4.3
71,18625420,Burma Burma,"Asian, Burmese",Bangalore,India,1788,4.7
72,18595782,The Pallet,"Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos",Bangalore,India,3013,4.6
73,18537585,The Reservoire,"Continental, North Indian, Chinese, American",Bangalore,India,2724,4.6
74,56618,AB's - Absolute Barbecues,"European, Mediterranean, North Indian, BBQ",Bangalore,India,12443,4.9
75,51040,Truffles,"Cafe, American, Burger, Steak",Bangalore,India,14984,4.7
76,18874059,The Pump House,"Continental, Finger Food",Bangalore,India,1057,4.3
77,18709627,Simon Says Brew Works,"Continental, American, Italian, Modern Indian, Pizza, Burger",Bangalore,India,2362,4.6
78,18727906,XOOX Brewmill,"Modern Indian, European, Asian",Bangalore,India,1782,4.5
79,18642512,Stories,"Continental, North Indian, Chinese",Bangalore,India,2636,4.6
80,18893197,FC Road Social,"Continental, American, Asian, North Indian, South Indian, European, Chinese, Fast Food",Pune,India,606,4.0
81,18880433,BeHive,"North Indian, Chinese, Continental",Pune,India,347,4.3
82,18715982,Flechazo,"Asian, Mediterranean, North Indian",Pune,India,2927,4.7
83,18562250,Cafe Co2 Resto Lounge,"North Indian, Chinese, Continental, Kebab, Seafood",Pune,India,1406,4.2
84,6508166,Flying Duck Co.,"Asian, European",Pune,India,1266,4.5
85,18586395,Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",Pune,India,2770,4.8
86,18732937,Darshan,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",Pune,India,1657,4.6
87,18784250,Universal Barbeque,"BBQ, Chinese, North Indian, Beverages",Pune,India,1686,4.5
88,18740139,Grandmama's Cafe,"Continental, Beverages, Desserts, Fast Food",Pune,India,1286,4.1
89,18545152,AB's - Absolute Barbecues,"Continental, North Indian, Chinese",Pune,India,5225,4.8
90,18417624,The Sassy Spoon,"European, Asian, Italian, Finger Food, Salad, Fast Food",Pune,India,1627,4.6
91,18383095,Teddy Boy,"North Indian, Continental",Pune,India,4547,4.2
92,18621437,The FML Lounge,"North Indian, Chinese, Continental, Finger Food",Pune,India,2059,4.1
93,18890430,The Barkhana,"North Indian, Continental",Pune,India,330,4.4
94,18617201,Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",Pune,India,2168,4.7
95,18650304,Tatva,"North Indian, Chinese, Continental",Pune,India,2340,4.4
96,18657534,Viman Nagar Social,"Continental, American, Asian, North Indian, South Indian, Chinese, European, Fast Food",Pune,India,2352,4.5
97,18536004,Culture - पुणे,"Continental, North Indian, Italian, Mediterranean, European, Finger Food, Desserts",Pune,India,2912,4.2
98,6508323,The Urban Foundry,"Asian, Indian",Pune,India,3369,4.6
99,18678581,Hippie@Heart,"Continental, Italian, North Indian, Finger Food, European",Pune,India,631,4.5
100,90896,Bawarchi,"Biryani, Hyderabadi, North Indian, Seafood",Hyderabad,India,41333,4.5
101,18550292,Flechazo,"Asian, Mediterranean, North Indian, Momos",Hyderabad,India,7577,4.7
102,18312984,Sahib’s Barbeque by Ohri’s,"Hyderabadi, Awadhi, BBQ",Hyderabad,India,5346,4.7
103,18538735,Over The Moon Brew Company,"Asian, Continental, North Indian, Chinese, Mediterranean",Hyderabad,India,2055,4.7
104,18470497,84 Anjuna Shack,"Cafe, Italian, French, Goan, Continental",Hyderabad,India,1779,4.1
105,18207447,Shah Ghouse Hotel & Restaurant,"Biryani, North Indian, Chinese",Hyderabad,India,11836,4.2
106,18544039,The Roastery Coffee House,"American, Cafe, Continental",Hyderabad,India,3258,4.8
107,90499,Coffee Cup,"Cafe, Continental, Salad",Secunderabad,India,3766,4.6
108,18582430,Lucky Restaurant,"Biryani, North Indian, Chinese",Hyderabad,India,10298,4.2
109,18514668,Captain Cook,"Biryani, North Indian, Chinese",Hyderabad,India,9076,3.9
110,18715296,Bakasura Restaurant,"Andhra, South Indian, Chinese",Secunderabad,India,651,4.0
111,18673497,Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",Hyderabad,India,2143,4.4
112,95831,Green Bawarchi,"North Indian, Chinese, Biryani",Hyderabad,India,6293,3.7
113,18138652,Paradise,"Biryani, North Indian, Chinese",Hyderabad,India,5781,4.5
114,90903,Shah Ghouse Cafe & Restaurant,"Biryani, North Indian, Chinese",Hyderabad,India,7309,4.3
115,18807262,Broadway,"Continental, North Indian, Chinese",Hyderabad,India,827,4.6
116,18774025,eat.fit,"Healthy Food, North Indian, Continental, South Indian",Hyderabad,India,621,4.4
117,18965675,Chubby Cho,"Chinese, Asian, Sushi, Japanese",Hyderabad,India,156,4.4
118,18607685,Farzi Cafe,Modern Indian,Hyderabad,India,2046,4.7
119,94402,4M Biryani House,"Biryani, North Indian",Hyderabad,India,4250,4.3
120,18938720,Coal Barbecues,"North Indian, Mediterranean, Asian, Arabian, BBQ",Chennai,India,1517,4.9
121,18800810,The Black Pearl,"North Indian, European, Mediterranean, Continental, BBQ",Chennai,India,1435,4.6
122,18595414,Coal Barbecues,"North Indian, Mediterranean, Asian, Arabian, BBQ",Chennai,India,5776,4.9
123,18513783,Onesta,"Pizza, Italian, Fast Food, Beverages, Desserts",Chennai,India,4578,4.7
124,70856,AB's - Absolute Barbecues,"BBQ, North Indian, European, Mediterranean",Chennai,India,9774,4.9
125,18423043,Dhaba Estd 1986 Delhi,"North Indian, Desserts, Beverages",Chennai,India,1283,4.6
126,67407,Copper Kitchen,"Seafood, North Indian, Chinese, Mughlai, Biryani",Chennai,India,3925,4.6
127,73279,Paradise,"Biryani, North Indian, Chinese",Chennai,India,4642,4.4
